Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,8.5625,8.5625,8.5625,8.5625,5.865018367767334,0
2010-01-04,8.625,8.6875,8.5,8.5625,5.865018367767334,226728
2010-01-05,8.625,8.625,8.5,8.625,5.907827854156494,573968
2010-01-06,8.5625,8.6875,8.5625,8.625,5.907827854156494,1047712
2010-01-07,8.625,8.625,8.5,8.625,5.907827854156494,651648
2010-01-08,8.625,8.6875,8.5625,8.625,5.907827854156494,573856
2010-01-11,8.625,8.6875,8.5625,8.625,5.907827854156494,416112
2010-01-12,8.5625,8.625,8.5,8.625,5.907827854156494,810280
2010-01-13,8.5,8.625,8.5,8.625,5.907827854156494,247144
2010-01-14,8.625,8.625,8.5625,8.5625,5.865018367767334,243600
2010-01-15,8.5625,8.625,8.5625,8.625,5.907827854156494,307280
2010-01-18,8.625,8.625,8.5625,8.5625,5.865018367767334,272688
2010-01-19,8.5625,8.625,8.5,8.625,5.907827854156494,476960
2010-01-20,8.5625,9.125,8.5625,8.875,6.079071044921875,2517864
2010-01-21,8.875,8.875,8.6875,8.75,5.9934492111206055,577928
2010-01-22,8.625,8.625,8.5,8.625,5.907827854156494,429104
2010-01-25,8.5625,8.625,8.5,8.5,5.822207450866699,426232
2010-01-26,8.5,8.625,8.4375,8.5,5.822207450866699,542432
2010-01-27,8.6875,8.6875,8.5625,8.5625,5.865018367767334,178568
2010-01-28,8.5625,8.625,8.5,8.5625,5.865018367767334,546800
2010-01-29,8.5,8.5625,8.4375,8.5,5.822207450866699,468704
2010-02-01,8.5625,8.5625,8.5,8.5,5.822207450866699,88544
2010-02-02,8.5625,8.5625,8.4375,8.4375,5.779397487640381,241600
2010-02-03,8.5,8.5625,8.5,8.5,5.822207450866699,350048
2010-02-04,8.5,8.5,8.375,8.375,5.736587047576904,237680
2010-02-05,8.375,8.5,8.125,8.4375,5.779397487640381,1048744
2010-02-08,8.5,8.5,8.125,8.3125,5.693776607513428,829096
2010-02-09,8.25,8.5,8.25,8.375,5.736587047576904,775080
2010-02-10,8.5,8.5625,8.5,8.5,5.822207450866699,453688
2010-02-11,8.625,8.625,8.5,8.5,5.822207450866699,314384
2010-02-12,8.75,8.8125,8.5,8.5625,5.865018367767334,260424
2010-02-15,8.5625,8.6875,8.5,8.6875,5.950639247894287,733992
2010-02-16,8.75,8.75,8.5625,8.5625,5.865018367767334,422568
2010-02-17,8.6875,8.6875,8.625,8.625,5.907827854156494,258024
2010-02-18,8.625,8.75,8.5625,8.5625,5.865018367767334,872328
2010-02-19,8.5625,8.875,8.5,8.625,5.907827854156494,2421008
2010-02-22,8.5,8.8125,8.4375,8.5,5.822207450866699,1449480
2010-02-23,8.3125,8.625,8.3125,8.3125,5.693776607513428,824848
2010-02-24,7.8125,8.375,7.5625,7.8125,5.351294040679932,2400616
2010-02-25,8.0,8.0625,7.8125,8.0,5.479725360870361,1666440
2010-02-26,8.4375,8.5625,8.0,8.4375,5.779397487640381,1933672
2010-03-01,8.6875,9.1875,8.625,8.6875,5.950639247894287,2175504
2010-03-02,8.625,8.75,8.5625,8.625,5.907827854156494,729640
2010-03-03,8.75,8.75,8.5,8.75,5.9934492111206055,1550656
2010-03-04,8.625,8.6875,8.5625,8.625,5.907827854156494,578664
2010-03-05,8.625,8.6875,8.5625,8.625,5.907827854156494,368648
2010-03-08,8.75,8.875,8.625,8.75,5.9934492111206055,1532072
2010-03-09,8.625,8.875,8.5625,8.625,5.907827854156494,884256
2010-03-10,8.625,8.6875,8.5625,8.625,5.907827854156494,371440
2010-03-11,8.625,8.75,8.5625,8.625,5.907827854156494,304104
2010-03-12,8.5,8.6875,8.5,8.5,5.822207450866699,374440
2010-03-15,8.5625,8.625,8.5,8.5625,5.865018367767334,88664
2010-03-16,8.6875,8.75,8.5625,8.6875,5.950639247894287,432328
2010-03-17,9.1875,9.25,8.75,9.1875,6.293122291564941,2082600
2010-03-18,9.5625,9.8125,9.3125,9.5625,6.549983978271484,4700848
2010-03-19,9.8125,10.0625,9.6875,9.8125,6.721225261688232,3241528
2010-03-22,9.5,9.875,9.375,9.5,6.507175922393799,2045648
2010-03-23,9.5,9.6875,9.5,9.5,6.507175922393799,1217592
2010-03-24,9.625,9.8125,9.625,9.625,6.592794895172119,623416
2010-03-25,9.8125,9.8125,9.5625,9.8125,6.721225261688232,904616
2010-03-26,9.9375,10.0,9.75,9.9375,6.806846618652344,1454808
2010-03-29,10.125,10.3125,9.875,10.125,6.935277462005615,1333632
2010-03-30,9.9375,10.3125,9.9375,9.9375,6.806846618652344,1205088
2010-03-31,9.9375,10.0625,9.8125,9.9375,6.806846618652344,1177552
2010-04-01,10.125,10.1875,9.875,10.125,6.935277462005615,1231720
2010-04-02,10.1875,10.25,10.0625,10.1875,6.97808837890625,235320
2010-04-05,10.125,10.25,10.125,10.125,6.935277462005615,212448
2010-04-06,10.5625,10.625,10.125,10.5625,7.234948635101318,1400432
2010-04-07,10.5625,10.75,10.4375,10.5625,7.234948635101318,1168576
2010-04-08,10.4375,10.6875,10.3125,10.4375,7.149328708648682,647096
2010-04-09,10.5625,10.625,10.5,10.5625,7.234948635101318,531744
2010-04-12,10.5,10.625,10.4375,10.5,7.192139148712158,366144
2010-04-13,10.625,10.75,10.5,10.625,7.277760028839111,555984
2010-04-14,10.5625,10.6875,10.5,10.5625,7.234948635101318,188904
2010-04-15,10.5625,10.6875,10.5,10.5625,7.234948635101318,701456
2010-04-16,10.375,10.6875,10.375,10.375,7.106517314910889,941152
2010-04-19,10.75,10.75,10.125,10.75,7.363379955291748,1532016
2010-04-20,10.8125,10.8125,10.625,10.8125,7.406191349029541,612696
2010-04-21,10.6875,11.1875,10.6875,10.6875,7.320570468902588,927664
2010-04-22,10.75,10.9375,10.6875,10.75,7.363379955291748,796208
2010-04-23,10.8125,10.8125,10.8125,10.8125,7.406191349029541,0
2010-04-26,10.8125,10.9375,10.6875,10.8125,7.406191349029541,710896
2010-04-27,10.5625,10.875,10.5,10.5625,7.234948635101318,630696
2010-04-28,10.4375,10.625,10.25,10.4375,7.149328708648682,742528
2010-04-29,10.5,10.625,10.375,10.5,7.192139148712158,185888
2010-04-30,10.5,10.625,10.5,10.5,7.192139148712158,2115808
2010-05-03,10.4375,10.625,10.4375,10.4375,7.149328708648682,770296
2010-05-04,10.25,10.5,10.1875,10.25,7.020898342132568,489200
2010-05-05,10.3125,10.5,10.25,10.3125,7.0637078285217285,986488
2010-05-06,9.9375,10.375,9.9375,9.9375,6.806846618652344,551040
2010-05-07,9.5625,10.1875,9.4375,9.5625,6.549983978271484,2116720
2010-05-10,10.0,10.0625,9.75,10.0,6.849656105041504,853208
2010-05-11,10.0625,10.0625,9.8125,10.0625,6.8924665451049805,589312
2010-05-12,10.375,10.4375,10.0625,10.375,7.106517314910889,1267960
2010-05-13,10.4375,10.625,10.3125,10.4375,7.149328708648682,506568
2010-05-14,10.375,10.625,10.25,10.375,7.106517314910889,625000
2010-05-17,10.5,10.5,10.25,10.5,7.192139148712158,748672
2010-05-18,10.375,10.5,10.3125,10.375,7.257719993591309,455832
2010-05-19,10.4375,10.4375,10.4375,10.4375,7.301443099975586,0
2010-05-20,9.9375,10.375,9.875,9.9375,6.951671123504639,531032
2010-05-21,10.1875,10.25,9.8125,10.1875,7.12655782699585,866736
2010-05-24,10.0,10.375,9.9375,10.0,6.995394706726074,373392
2010-05-25,9.8125,10.0,9.75,9.8125,6.864229202270508,1304520
2010-05-26,10.4375,11.125,9.8125,10.4375,7.301443099975586,3356808
2010-05-27,10.8125,11.25,10.5,10.8125,7.563772201538086,1114864
2010-05-28,10.625,10.8125,10.3125,10.625,7.4326043128967285,1001804
2010-05-31,10.375,10.625,10.25,10.375,7.257719993591309,526288
2010-06-01,10.3125,10.4375,10.125,10.3125,7.213997840881348,680608
2010-06-02,10.5,10.5625,10.125,10.5,7.345163822174072,714192
2010-06-03,10.625,10.625,10.5,10.5625,7.388882160186768,629668
2010-06-04,10.625,10.625,10.4375,10.625,7.4326043128967285,1132112
2010-06-07,10.625,10.625,10.5,10.625,7.4326043128967285,351420
2010-06-08,10.625,10.6875,10.5,10.625,7.4326043128967285,489232
2010-06-09,10.875,11.125,10.625,10.875,7.607490539550781,1122452
2010-06-10,10.875,10.9375,10.6875,10.875,7.607490539550781,292444
2010-06-11,10.6875,11.0625,10.5,10.6875,7.476327896118164,1046988
2010-06-14,10.75,10.875,10.625,10.75,7.520047664642334,316588
2010-06-15,10.5625,10.8125,10.5625,10.5625,7.388882160186768,953628
2010-06-16,10.6875,10.75,10.5625,10.6875,7.476327896118164,523480
2010-06-17,10.75,10.8125,10.5625,10.75,7.520047664642334,825208
2010-06-18,10.8125,10.8125,10.6875,10.8125,7.563772201538086,422308
2010-06-21,10.6875,10.9375,10.6875,10.6875,7.476327896118164,1159408
2010-06-22,10.625,10.8125,10.625,10.625,7.4326043128967285,499052
2010-06-23,10.5,10.6875,10.3125,10.5,7.345163822174072,967852
2010-06-24,10.4375,10.625,10.375,10.4375,7.301443099975586,126248
2010-06-25,10.5625,10.625,10.375,10.5625,7.388882160186768,335872
2010-06-28,10.5625,10.6875,10.5,10.625,7.4326043128967285,314252
2010-06-29,10.5,10.6875,10.4375,10.5,7.345163822174072,452596
2010-06-30,10.625,11.0,10.4375,10.625,7.4326043128967285,2835788
2010-07-01,10.6875,11.0625,10.6875,10.6875,7.476327896118164,889780
2010-07-02,10.875,10.9375,10.75,10.875,7.607490539550781,557388
2010-07-05,10.8125,10.875,10.75,10.8125,7.563772201538086,239424
2010-07-06,10.8125,10.875,10.75,10.8125,7.563772201538086,234560
2010-07-07,10.8125,10.875,10.75,10.8125,7.563772201538086,376740
2010-07-08,10.9375,10.9375,10.8125,10.9375,7.651211261749268,955508
2010-07-09,11.0,11.0,10.875,11.0,7.694932460784912,305284
2010-07-12,10.875,11.0,10.875,10.875,7.607490539550781,257372
2010-07-13,11.0,11.0,10.875,11.0,7.694932460784912,720516
2010-07-14,11.1875,11.25,10.9375,11.1875,7.82609748840332,752652
2010-07-15,11.5,11.75,11.25,11.5,8.044702529907227,1698016
2010-07-16,11.3125,11.625,11.3125,11.3125,7.913539409637451,674332
