Date,Open,High,Low,Close,Adj Close,Volume
2010-12-02,49.20000076293945,52.0,47.599998474121094,49.20000076293945,47.165626525878906,1114395
2010-12-03,50.5,51.099998474121094,47.75,50.5,48.411869049072266,570378
2010-12-06,56.75,56.75,50.20000076293945,56.75,54.4034423828125,829805
2010-12-07,57.0,62.75,55.5,57.0,54.64310073852539,827836
2010-12-08,57.25,59.5,55.25,57.25,54.88276672363281,301066
2010-12-09,59.75,61.75,57.0,59.75,57.279396057128906,757930
2010-12-10,59.5,62.25,58.25,59.5,57.039730072021484,518435
2010-12-21,57.75,58.5,57.25,57.75,55.36208724975586,75401
2010-12-22,58.0,58.75,57.5,58.0,55.60175704956055,102678
2010-12-23,60.5,60.75,57.75,60.5,57.99837875366211,286887
2010-12-24,60.5,61.0,59.75,60.5,57.99837875366211,120601
2010-12-27,60.0,60.5,59.25,60.0,57.5190544128418,71539
2010-12-28,60.0,61.25,59.5,60.0,57.5190544128418,145197
2010-12-29,59.5,60.5,59.25,59.5,57.039730072021484,67071
2010-12-30,61.0,61.0,59.5,61.0,58.47770690917969,111233
2010-12-31,61.5,61.5,60.5,61.5,58.95703125,182870
2011-01-03,64.25,64.25,61.75,64.25,61.59333038330078,230659
2011-01-04,66.25,66.5,63.5,66.25,63.51062774658203,335247
2011-01-05,66.75,67.25,65.25,66.75,63.98995590209961,138387
2011-01-06,65.75,67.0,64.75,65.75,63.03129577636719,45595
2011-01-07,64.0,66.0,63.5,64.0,61.353660583496094,81822
2011-01-10,64.25,65.0,63.25,64.25,61.59333038330078,70266
2011-01-11,64.0,65.75,63.75,64.0,61.353660583496094,87195
2011-01-12,65.75,65.75,64.0,65.75,63.03129577636719,61832
2011-01-13,66.75,66.75,64.75,66.75,63.98995590209961,162635
2011-01-14,67.75,68.25,66.75,67.75,64.94859313964844,211997
2011-01-17,66.5,68.25,66.0,66.5,63.750282287597656,113552
2011-01-18,66.0,67.0,65.75,66.0,63.27096176147461,22075
2011-01-19,66.0,66.75,65.25,66.0,63.27096176147461,37115
2011-01-20,64.25,65.75,63.25,64.25,61.59333038330078,44380
2011-01-21,64.75,65.25,63.25,64.75,62.07265090942383,75775
