Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM),52 Week Range
BTCM,BIT Mining Limited,2.34,-0.05,-2.09%,"90,835","719,814",24.893M,,
SKLZ,Skillz Inc.,0.6802,0.1305,+23.74%,24.206M,8.599M,306.138M,,
TLRY,"Tilray Brands, Inc.",2.6,0.16,+6.56%,11.188M,13.975M,1.606B,,
SPCE,"Virgin Galactic Holdings, Inc.",3.15,-0.04,-1.25%,13.515M,10.526M,961.292M,,
UP,Wheels Up Experience Inc.,0.4999,0.0059,+1.19%,2.798M,1.483M,138.044M,,
OPEN,Opendoor Technologies Inc.,1.68,0.04,+2.44%,10.708M,25.239M,1.08B,,
DVAX,Dynavax Technologies Corporation,10.44,0.41,+4.09%,1.284M,1.465M,1.333B,5.09,
RGS,Regis Corporation,1.08,-0.04,-3.57%,"95,399","366,433",49.21M,,
CGC,Canopy Growth Corporation,1.58,-0.01,-0.63%,5.598M,7.129M,809.973M,,
PSFE,Paysafe Limited,15.61,0.08,+0.52%,"257,058","408,937",1.017B,,
ACB,Aurora Cannabis Inc.,0.6546,0.0076,+1.17%,3.019M,6.008M,223.21M,,
BCRX,"BioCryst Pharmaceuticals, Inc.",8.68,0.15,+1.76%,2.302M,2.977M,1.636B,,
IVR,Invesco Mortgage Capital Inc.,10.76,0.01,+0.09%,1.163M,"956,770",446.26M,,
DM,"Desktop Metal, Inc.",2.02,-0.11,-5.16%,1.863M,4.235M,644.004M,,
CDE,"Coeur Mining, Inc.",4.12,-0.1,-2.37%,4.566M,5.474M,1.466B,,
CANO,"Cano Health, Inc.",1.25,-0.06,-4.58%,4.631M,8.712M,660.224M,,
EVGO,"EVgo, Inc.",6.51,0.03,+0.39%,1.89M,2.675M,1.924B,,
HYLN,Hyliion Holdings Corp.,1.83,-0.04,-2.14%,"901,646",1.263M,348.75M,,
OPK,"OPKO Health, Inc.",1.46,0.0,0.00%,1.746M,3.252M,1.128B,,
FTCH,Farfetch Limited,4.46,0.1,+2.29%,10.412M,13.403M,1.897B,,
AMRS,"Amyris, Inc.",1.3,0.09,+7.44%,2.707M,4.919M,476.128M,,
ORC,"Orchid Island Capital, Inc.",11.05,0.05,+0.45%,"649,138","759,983",431.855M,,
MUX,McEwen Mining Inc.,9.09,-0.15,-1.62%,"445,910","448,222",431.117M,,
MCRB,"Seres Therapeutics, Inc.",5.77,0.16,+2.85%,2.174M,"989,298",727.458M,,
OTLY,Oatly Group AB,2.28,-0.06,-2.56%,2.471M,4.452M,1.465B,,
ALXO,ALX Oncology Holdings Inc.,4.45,0.07,+1.60%,"82,727","230,093",181.84M,,
VMEO,"Vimeo, Inc.",3.7,0.12,+3.35%,1.285M,1.899M,637.218M,,
APRE,"Aprea Therapeutics, Inc.",4.42,0.58,+15.10%,"62,409","17,106",16.494M,,
CHS,"Chico's FAS, Inc.",5.19,-0.03,-0.57%,1.487M,2.376M,649.01M,5.9,
AMWL,American Well Corporation,2.27,0.06,+2.71%,"602,956",1.333M,630.136M,,
NVTA,Invitae Corporation,1.32,0.05,+3.94%,4.934M,8.894M,355.964M,,
GEO,"The GEO Group, Inc.",8.11,0.25,+3.18%,1.626M,2.548M,1.01B,7.05,
HLX,"Helix Energy Solutions Group, Inc.",7.58,-0.23,-2.94%,"945,516",1.926M,1.148B,,
TTMI,"TTM Technologies, Inc.",12.65,-0.07,-0.55%,"399,325","488,335",1.32B,14.54,
BFLY,"Butterfly Network, Inc.",2.28,0.22,+10.68%,6.413M,2.62M,463.843M,,
IMGN,"ImmunoGen, Inc.",4.06,0.17,+4.37%,3.457M,3.282M,917.747M,,
DNMR,"Danimer Scientific, Inc.",4.07,0.18,+4.63%,1.831M,1.509M,465.018M,,
QUOT,Quotient Technology Inc.,3.18,0.04,+1.27%,"151,419","461,453",310.608M,,
DSX,Diana Shipping Inc.,3.81,-0.07,-1.80%,"351,497","760,496",405.525M,2.84,
PGRE,"Paramount Group, Inc.",4.55,-0.03,-0.66%,1.293M,1.917M,1.049B,,
RAD,Rite Aid Corporation,2.27,0.12,+5.58%,2.317M,2.634M,128.905M,,
KAR,"KAR Auction Services, Inc.",13.0,0.23,+1.80%,"797,532","656,861",1.448B,,
SFIX,"Stitch Fix, Inc.",4.38,-0.31,-6.61%,3.662M,2.749M,569.286M,,
BDN,Brandywine Realty Trust,4.33,0.04,+0.93%,1.711M,2.703M,751.034M,13.97,
AEVA,"Aeva Technologies, Inc.",1.04,0.02,+1.96%,"750,801",1.231M,228.56M,,
BYND,"Beyond Meat, Inc.",15.33,-0.64,-4.01%,1.661M,2.86M,984.373M,,
ANGI,Angi Inc.,2.16,0.01,+0.47%,"281,597","871,770",1.111B,,
COMM,"CommScope Holding Company, Inc.",5.86,-0.02,-0.34%,1.658M,2.658M,1.256B,,
RXT,"Rackspace Technology, Inc.",1.77,0.11,+6.63%,1.362M,1.377M,379.005M,,
SAND,Sandstorm Gold Ltd.,6.2,0.16,+2.65%,2.76M,2.633M,1.854B,18.79,
CCRN,"Cross Country Healthcare, Inc.",21.5,-0.31,-1.42%,"540,011","668,050",774.97M,4.34,
BBBY,Bed Bath & Beyond Inc.,0.3092,-0.0279,-8.28%,116.337M,84.268M,132.375M,,
LC,LendingClub Corporation,6.75,0.04,+0.60%,1.496M,2.164M,719.354M,2.51,
PRPL,"Purple Innovation, Inc.",2.3,-0.05,-2.13%,"763,125",1.015M,253.538M,,
BKD,Brookdale Senior Living Inc.,2.86,0.01,+0.35%,1.917M,2.371M,535.395M,,
TRUE,"TrueCar, Inc.",2.2,-0.03,-1.35%,"237,062","376,458",195.127M,,
ASTS,"AST SpaceMobile, Inc.",4.36,0.11,+2.59%,1.581M,1.732M,921.621M,,
AXL,"American Axle & Manufacturing Holdings, Inc.",7.13,-0.19,-2.60%,"767,673",1.05M,832.891M,13.71,
SCS,Steelcase Inc.,7.98,0.04,+0.50%,"383,630","736,396",918.658M,26.6,
RAAS,Cloopen Group Holding Limited,1.82,-0.01,-0.55%,"32,527","49,754",299.153M,,
CVNA,Carvana Co.,9.01,0.51,+6.00%,7.039M,26.471M,1.6B,,
HA,"Hawaiian Holdings, Inc.",8.52,-0.18,-2.07%,"808,186",1.445M,458.432M,,
UPWK,Upwork Inc.,10.33,0.12,+1.18%,1.417M,1.371M,1.473B,,
LPSN,"LivePerson, Inc.",4.48,0.25,+5.91%,1.308M,1.852M,368.829M,,
BCYC,Bicycle Therapeutics plc,22.22,0.99,+4.66%,"199,822","349,927",667.069M,,
COOK,"Traeger, Inc.",3.46,-0.15,-4.16%,"497,708","508,787",460.775M,,
PLAY,"Dave & Buster's Entertainment, Inc.",33.98,0.53,+1.58%,1.179M,1.002M,1.645B,12.01,
VNET,"VNET Group, Inc.",3.76,0.08,+2.17%,"924,822",2.426M,588.515M,,
AROC,"Archrock, Inc.",9.94,-0.07,-0.70%,"570,065",1.036M,1.561B,35.5,
HCC,"Warrior Met Coal, Inc.",35.31,-0.54,-1.51%,"283,923","627,233",1.845B,2.85,
LADR,Ladder Capital Corp,9.17,0.02,+0.22%,"678,669","814,548",1.165B,8.12,
RDFN,Redfin Corporation,8.87,0.38,+4.48%,1.656M,4.162M,1.012B,,
SD,"SandRidge Energy, Inc.",15.33,0.02,+0.13%,"423,322","540,619",565.392M,2.34,
HEPS,D-Market Elektronik Hizmetler ve Ticaret A.S.,1.16,0.05,+4.50%,"338,248","764,733",378.158M,,
SXC,"SunCoke Energy, Inc.",8.63,-0.05,-0.58%,"351,576","864,454",730.348M,7.25,
INSG,Inseego Corp.,0.57,0.0803,+16.40%,"918,493","684,661",66.996M,,
METC,"Ramaco Resources, Inc.",8.6,-0.1,-1.15%,"214,521","380,630",387.559M,3.31,
AVAH,Aveanna Healthcare Holdings Inc.,1.03,0.03,+3.00%,"616,546","484,816",210.087M,,
GSL,"Global Ship Lease, Inc.",18.41,-0.1,-0.54%,"333,376","553,688",653.391M,2.41,
FA,First Advantage Corporation,12.96,-0.18,-1.37%,"222,533","318,182",2.002B,32.4,
KTOS,"Kratos Defense & Security Solutions, Inc.",12.89,-0.01,-0.08%,"667,964","790,332",1.682B,,
SOL,Emeren Group Ltd,4.11,-0.04,-0.96%,"118,150","383,483",279.914M,51.38,
CNDT,Conduent Incorporated,3.33,-0.05,-1.48%,1.161M,"996,095",727.285M,,
RES,"RPC, Inc.",7.77,-0.2,-2.51%,"804,850",1.375M,1.694B,8.01,
IHRT,"iHeartMedia, Inc.",3.64,0.16,+4.60%,"695,781","901,545",457.29M,,
RIGL,"Rigel Pharmaceuticals, Inc.",1.25,0.06,+5.04%,1.44M,3.188M,222.539M,,
JBI,"Janus International Group, Inc.",9.25,0.14,+1.54%,"743,303","390,111",1.397B,13.81,
DNOW,NOW Inc.,10.44,-0.03,-0.29%,"450,354","802,174",1.152B,9.16,
AVID,"Avid Technology, Inc.",32.0,0.25,+0.79%,"198,285","217,283",1.401B,25.81,
GPRE,Green Plains Inc.,30.56,0.51,+1.70%,"940,542","865,877",1.818B,,
BBAR,Banco BBVA Argentina S.A.,3.92,-0.05,-1.26%,"144,889","722,388",810.821M,2.86,
CHMI,Cherry Hill Mortgage Investment Corporation,5.46,-0.05,-0.91%,"216,673","477,758",135.944M,9.1,
TWOU,"2U, Inc.",5.95,-0.16,-2.62%,"708,757",1.126M,524.175M,,
ARCO,Arcos Dorados Holdings Inc.,7.12,-0.05,-0.70%,"828,774","743,093",1.516B,11.67,
GRTS,"Gritstone bio, Inc.",2.77,0.27,+10.80%,"448,688","720,956",242.824M,,
BALY,Bally's Corporation,18.44,-0.02,-0.11%,"141,334","346,356",847.049M,,
STAR,iStar Inc.,7.63,0.15,+2.01%,1.464M,"378,139",662.56M,,
AUD,"Audacy, Inc.",0.1107,-0.0039,-3.40%,"752,501",1.137M,16.728M,,
VIST,"Vista Energy, S.A.B. de C.V.",20.59,-0.21,-1.01%,"152,288","695,843",1.925B,7.12,
CAL,"Caleres, Inc.",21.44,-0.25,-1.15%,"325,028","672,772",773.086M,4.36,
