Symbol,Name,Price (Intraday),Change,% Change,Volume,50 Day Average,200 Day Average,52 Week Range
QQQ,Invesco QQQ Trust,318.05,2.13,+0.67%,46.916M,302.85,291.51,
VTIP,Vanguard Short-Term Inflation-Protected Securities Index Fund,47.98,0.03,+0.06%,1.507M,47.21,48.18,
VCSH,Vanguard Short-Term Corporate Bond Index Fund,76.39,-0.07,-0.09%,5.522M,75.71,75.59,
VCIT,Vanguard Intermediate-Term Corporate Bond Index Fund,80.75,-0.03,-0.04%,3.448M,79.2,78.83,
IEF,iShares 7-10 Year Treasury Bond ETF,100.48,0.03,+0.03%,4.262M,97.65,98.57,
MBB,iShares MBS ETF,95.49,-0.25,-0.26%,1.28M,94.25,94.64,
VGSH,Vanguard Short-Term Treasury Index Fund,58.63,-0.03,-0.05%,2.663M,58.08,58.16,
IGSB,iShares 1-5 Year Investment Grade Corporate Bond ETF,50.61,-0.07,-0.14%,10.041M,50.2,50.08,
DVY,iShares Select Dividend ETF,117.92,0.35,+0.30%,"327,865",119.94,119.58,
VGIT,Vanguard Intermediate-Term Treasury Index Fund,60.53,0.01,+0.02%,1.474M,59.19,59.5,
VMBS,Vanguard Mortgage-Backed Securities Index Fund,46.93,-0.11,-0.23%,"992,345",46.34,46.48,
ESGU,iShares ESG Aware MSCI USA ETF,90.09,0.32,+0.36%,"529,345",89.03,87.4,
VONG,Vanguard Russell 1000 Growth Index Fund,62.49,0.38,+0.61%,"569,680",60.37,58.8,
IUSV,iShares Core S&P U.S. Value ETF,73.31,0.23,+0.31%,"486,636",73.74,70.64,
IUSG,iShares Core S&P U.S. Growth ETF,88.96,0.34,+0.38%,"357,990",86.22,86.3,
IEI,iShares 3-7 Year Treasury Bond ETF,118.64,-0.01,-0.01%,1.963M,116.18,116.54,
FTCS,First Trust Capital Strength ETF,73.13,0.12,+0.16%,"615,963",73.12,73.01,
DGRW,WisdomTree U.S. Quality Dividend Growth Fund,62.33,0.2,+0.32%,1.007M,61.6,60.03,
SMH,VanEck Semiconductor ETF,252.4,-0.76,-0.30%,3.724M,247.02,220.62,
RDVY,First Trust Rising Dividend Achievers ETF,44.33,-0.01,-0.02%,"603,027",45.9,44.11,
SOXX,iShares Semiconductor ETF,422.92,-2.19,-0.52%,"620,087",420.46,378.06,
ESGD,iShares ESG Aware MSCI EAFE ETF,72.27,0.28,+0.39%,"257,632",70.52,65.25,
VYMI,Vanguard International High Dividend Yield Fund,62.73,0.26,+0.42%,"262,469",62.35,59.21,
PDBC,Invesco Optimum Yield Diversified Commodity Strategy No K-1 ETF,14.45,-0.05,-0.34%,2.347M,14.26,16.13,
VONE,Vanguard Russell 1000 Index Fund,185.81,0.66,+0.36%,"41,394",183.45,179.47,
CIBR,First Trust NASDAQ Cybersecurity ETF,42.0,0.16,+0.38%,"348,618",41.43,40.97,
LMBS,First Trust Low Duration Opportunities ETF,48.11,-0.06,-0.12%,1.078M,47.88,47.82,
ONEQ,Fidelity Nasdaq Composite Index ETF,47.42,0.32,+0.68%,"233,018",45.98,44.8,
EMXC,iShares MSCI Emerging Markets ex China ETF,49.37,0.01,+0.02%,"467,607",49.19,48.55,
FV,First Trust Dorsey Wright Focus 5 ETF,43.84,-0.16,-0.36%,"237,608",46.3,45.62,
SLQD,iShares 0-5 Year Investment Grade Corporate Bond ETF,48.52,-0.07,-0.14%,"207,267",48.14,48.08,
ANGL,VanEck Fallen Angel High Yield Bond ETF,27.82,0.11,+0.40%,2.341M,27.56,27.37,
FTSL,First Trust Senior Loan Fund,45.22,-0.07,-0.15%,1.09M,45.37,45.09,
PRFZ,Invesco FTSE RAFI US 1500 Small-Mid ETF,160.11,0.46,+0.29%,"19,243",168.55,163.3,
CDC,VictoryShares US EQ Income Enhanced Volatility Wtd ETF,60.84,-0.03,-0.05%,"460,343",61.97,63.87,
PHO,Invesco Water Resources ETF,51.57,-0.03,-0.06%,"43,106",52.92,50.93,
FALN,iShares Fallen Angels USD Bond ETF,25.11,0.08,+0.32%,1.326M,25.04,24.89,
PEY,Invesco High Yield Equity Dividend Achievers ETF,19.87,0.0,0.00%,"320,601",20.35,20.54,
QQEW,First Trust NASDAQ-100 Equal Weighted Index Fund,98.75,0.01,+0.01%,"175,228",97.41,92.79,
UITB,VictoryShares USAA Core Intermediate-Term Bond ETF,47.11,0.02,+0.04%,"34,604",46.3,46.27,
SDVY,First Trust SMID Cap Rising Dividend Achievers ETF,25.77,-0.02,-0.09%,"237,844",27.71,26.29,
PID,Invesco International Dividend Achievers ETF,18.05,0.06,+0.33%,"656,628",17.57,17.07,
PKW,Invesco BuyBack Achievers ETF,84.22,-0.36,-0.43%,"23,122",87.12,84.18,
FTXL,First Trust Nasdaq Semiconductor ETF,61.68,-0.12,-0.19%,"69,332",61.91,56.78,
FNX,First Trust Mid Cap Core AlphaDEX Fund,87.49,-0.14,-0.16%,"58,076",92.46,89.71,
SUSB,iShares ESG 1-5 Year USD Corporate Bond ETF,24.14,-0.04,-0.17%,"143,157",23.92,23.87,
FYX,First Trust Small Cap Core AlphaDEX Fund,78.52,0.1,+0.13%,"20,835",83.44,81.23,
PTNQ,Pacer Trendpilot 100 ETF,54.48,0.39,+0.72%,"19,808",51.96,51.3,
PLW,Invesco 1-30 Laddered Treasury ETF,30.5,0.04,+0.13%,"38,159",29.52,29.8,
QQQE,Direxion NASDAQ-100 Equal Weighted Index Shares,71.1,0.0,0.00%,"52,684",70.08,66.82,
DWAS,Invesco DWA SmallCap Momentum ETF,70.85,-0.05,-0.07%,"54,735",75.24,74.09,
VRIG,Invesco Variable Rate Investment Grade ETF,24.77,0.01,+0.04%,"163,518",24.86,24.74,
IMCV,iShares Morningstar Mid-Cap Value ETF,61.28,0.01,+0.02%,"9,740",63.64,62.46,
USTB,VictoryShares USAA Core Short-Term Bond ETF,49.16,-0.04,-0.08%,"21,883",49.0,48.84,
BSJP,Invesco BulletShares 2025 High Yield Corporate Bond ETF,22.43,0.07,+0.31%,"251,045",22.37,22.33,
SDG,iShares MSCI Global Impact ETF,79.18,0.64,+0.81%,"19,880",79.05,78.46,
CSB,VictoryShares US Small Cap High Div Volatility Wtd ETF,51.12,-0.05,-0.10%,"33,799",54.14,53.01,
CDL,VictoryShares US Large Cap High Div Volatility Wtd ETF,57.84,0.06,+0.11%,"23,459",58.7,58.66,
KBWP,Invesco KBW Property & Casualty Insurance ETF,84.04,0.35,+0.42%,"11,888",86.65,82.68,
AIRR,First Trust RBA American Industrial RenaissanceTM ETF,44.74,-0.35,-0.78%,"56,483",48.36,44.12,
PSCT,Invesco S&P SmallCap Information Technology ETF,126.16,-0.62,-0.49%,739,130.7,124.22,
