Symbol	Name	Price (Intraday)	Change	% Change	Volume	Avg Vol (3 month)	Market Cap	PE Ratio (TTM)	52 Week Range
BTCM	BIT Mining Limited	2.3400	-0.0500	-2.09%	90,835	719,814	24.893M	N/A
SKLZ	Skillz Inc.	0.6802	+0.1305	+23.74%	24.206M	8.599M	306.138M	N/A
TLRY	Tilray Brands, Inc.	2.6000	+0.1600	+6.56%	11.188M	13.975M	1.606B	N/A
SPCE	Virgin Galactic Holdings, Inc.	3.1500	-0.0400	-1.25%	13.515M	10.526M	961.292M	N/A
UP	Wheels Up Experience Inc.	0.4999	+0.0059	+1.19%	2.798M	1.483M	138.044M	N/A
OPEN	Opendoor Technologies Inc.	1.6800	+0.0400	+2.44%	10.708M	25.239M	1.08B	N/A
DVAX	Dynavax Technologies Corporation	10.44	+0.41	+4.09%	1.284M	1.465M	1.333B	5.09
RGS	Regis Corporation	1.0800	-0.0400	-3.57%	95,399	366,433	49.21M	N/A
CGC	Canopy Growth Corporation	1.5800	-0.0100	-0.63%	5.598M	7.129M	809.973M	N/A
PSFE	Paysafe Limited	15.61	+0.08	+0.52%	257,058	408,937	1.017B	N/A
ACB	Aurora Cannabis Inc.	0.6546	+0.0076	+1.17%	3.019M	6.008M	223.21M	N/A
BCRX	BioCryst Pharmaceuticals, Inc.	8.68	+0.15	+1.76%	2.302M	2.977M	1.636B	N/A
IVR	Invesco Mortgage Capital Inc.	10.76	+0.01	+0.09%	1.163M	956,770	446.26M	N/A
DM	Desktop Metal, Inc.	2.0200	-0.1100	-5.16%	1.863M	4.235M	644.004M	N/A
CDE	Coeur Mining, Inc.	4.1200	-0.1000	-2.37%	4.566M	5.474M	1.466B	N/A
CANO	Cano Health, Inc.	1.2500	-0.0600	-4.58%	4.631M	8.712M	660.224M	N/A
EVGO	EVgo, Inc.	6.51	+0.03	+0.39%	1.89M	2.675M	1.924B	N/A
HYLN	Hyliion Holdings Corp.	1.8300	-0.0400	-2.14%	901,646	1.263M	348.75M	N/A
OPK	OPKO Health, Inc.	1.4600	0.0000	0.00%	1.746M	3.252M	1.128B	N/A
FTCH	Farfetch Limited	4.4600	+0.1000	+2.29%	10.412M	13.403M	1.897B	N/A
AMRS	Amyris, Inc.	1.3000	+0.0900	+7.44%	2.707M	4.919M	476.128M	N/A
ORC	Orchid Island Capital, Inc.	11.05	+0.05	+0.45%	649,138	759,983	431.855M	N/A
MUX	McEwen Mining Inc.	9.09	-0.15	-1.62%	445,910	448,222	431.117M	N/A
MCRB	Seres Therapeutics, Inc.	5.77	+0.16	+2.85%	2.174M	989,298	727.458M	N/A
OTLY	Oatly Group AB	2.2800	-0.0600	-2.56%	2.471M	4.452M	1.465B	N/A
ALXO	ALX Oncology Holdings Inc.	4.4500	+0.0700	+1.60%	82,727	230,093	181.84M	N/A
VMEO	Vimeo, Inc.	3.7000	+0.1200	+3.35%	1.285M	1.899M	637.218M	N/A
