Symbol	Name	Price (Intraday)	Change	% Change	Market Cap	Volume in Currency (Since 0:00 UTC)	Volume in Currency (24Hr)	Total Volume All Currencies (24Hr)	Circulating Supply	52 Week Range	Day Chart
Bitcoin USDBTC-USD	Bitcoin USD	28,034.45	+121.82	+0.44%	542.201B	9.404B	9.404B	9.404B	19.341M		
Ethereum USDETH-USD	Ethereum USD	1,868.58	+13.52	+0.73%	225.085B	5.218B	5.218B	5.218B	120.458M		
Tether USDUSDT-USD	Tether USD	1.0005	-0.0001	-0.01%	80.234B	16.759B	16.759B	16.759B	80.195B		
BNB USDBNB-USD	BNB USD	311.83	+1.11	+0.36%	49.234B	444.085M	444.085M	444.085M	157.887M		
USD Coin USDUSDC-USD	USD Coin USD	0.999978	+0.000009	+0.00%	32.6B	2.356B	2.356B	2.356B	32.601B		
XRP USDXRP-USD	XRP USD	0.509980	+0.002781	+0.55%	26.36B	699.195M	699.195M	699.195M	51.688B		
Cardano USDADA-USD	Cardano USD	0.387346	+0.007629	+2.01%	13.463B	195.182M	195.182M	195.182M	34.757B		
HEX USDHEX-USD	HEX USD	0.069902	+0.001389	+2.03%	12.122B	7.116M	7.116M	7.116M	173.411B		
Dogecoin USDDOGE-USD	Dogecoin USD	0.083244	+0.000716	+0.87%	11.559B	502.635M	502.635M	502.635M	138.854B		
Lido Staked ETH USDSTETH-USD	Lido Staked ETH USD	1,858.96	+1.01	+0.05%	11.015B	6.112M	6.112M	6.112M	5.926M		
Polygon USDMATIC-USD	Polygon USD	1.1134	+0.0065	+0.59%	10.11B	150.969M	150.969M	150.969M	9.08B		
Solana USDSOL-USD	Solana USD	20.48	+0.03	+0.14%	7.944B	138.862M	138.862M	138.862M	387.94M		
Polkadot USDDOT-USD	Polkadot USD	6.2008	+0.0115	+0.19%	7.281B	117.071M	117.071M	117.071M	1.174B		
Binance USD USDBUSD-USD	Binance USD USD	0.999818	-0.000246	-0.02%	7.069B	2.011B	2.011B	2.011B	7.07B		
Wrapped TRON USDWTRX-USD	Wrapped TRON USD	0.066333	+0.000345	+0.52%	6.744B	422,622	422,622	422,622	101.676B		
Litecoin USDLTC-USD	Litecoin USD	90.45	+0.08	+0.09%	6.572B	261.927M	261.927M	261.927M	72.66M		
Shiba Inu USDSHIB-USD	Shiba Inu USD	0.000011	+0.000000	+0.12%	6.451B	104.934M	104.934M	104.934M	589.543T		
TRON USDTRX-USD	TRON USD	0.066490	+0.000640	+0.97%	6.045B	155.51M	155.51M	155.51M	90.912B		
Avalanche USDAVAX-USD	Avalanche USD	17.65	+0.07	+0.40%	5.755B	87.816M	87.816M	87.816M	326.137M		
Dai USDDAI-USD	Dai USD	0.999699	+0.000238	+0.02%	5.272B	82.52M	82.52M	82.52M	5.274B		
T-mac DAO USDTMG-USD	T-mac DAO USD	3.9711	-1.0800	-21.38%	3.971B	25,837	25,837	25,837	1B		
Wrapped Bitcoin USDWBTC-USD	Wrapped Bitcoin USD	28,041.53	+116.26	+0.42%	4.236B	50.49M	50.49M	50.49M	151,050		
Chainlink USDLINK-USD	Chainlink USD	7.2195	+0.0367	+0.51%	3.733B	117.357M	117.357M	117.357M	517.1M		
Uniswap USDUNI7083-USD	Uniswap USD	5.9804	-0.0261	-0.44%	3.454B	54.175M	54.175M	54.175M	577.487M		
UNUS SED LEO USDLEO-USD	UNUS SED LEO USD	3.3664	-0.0077	-0.23%	3.211B	1.603M	1.603M	1.603M	953.954M		
Cosmos USDATOM-USD	Cosmos USD	11.09	+0.09	+0.78%	3.176B	96.936M	96.936M	96.936M	286.37M		
Monero USDXMR-USD	Monero USD	158.55	+0.89	+0.56%	2.896B	65.652M	65.652M	65.652M	18.263M		
Ethereum Classic USDETC-USD	Ethereum Classic USD	20.49	+0.12	+0.58%	2.877B	74.745M	74.745M	74.745M	140.363M		
Stellar USDXLM-USD	Stellar USD	0.105105	+0.000213	+0.20%	2.808B	40.488M	40.488M	40.488M	26.718B		
Toncoin USDTON11419-USD	Toncoin USD	2.2449	+0.0164	+0.74%	2.742B	10.6M	10.6M	10.6M	1.221B		
OKB USDOKB-USD	OKB USD	41.27	-0.20	-0.48%	2.476B	6.586M	6.586M	6.586M	60M		
