Symbol	Name	Change	% Change	Price (Intraday)	50 Day Average	200 Day Average	3-Mo Return	YTD Return	52 Week Range
BIPSX	ProFunds Biotechnology UltraSector Fund Service Class	+1.04	+2.93%	35.47	37.70	37.79	-9.67%	-8.77%
BIPIX	ProFunds Biotechnology UltraSector Fund	+1.56	+2.91%	53.58	56.88	56.84	-9.44%	-8.51%
JMIGX	Jacob Discovery Fund Institutional Class	+0.36	+1.51%	23.89	24.67	23.72	2.23%	5.25%
JMCGX	Jacob Discovery Fund	+0.32	+1.49%	21.52	22.23	21.40	2.10%	5.15%
UOPIX	Ultra NASDAQ-100 ProFunds Investor Class	+0.74	+1.44%	51.43	47.68	47.58	36.57%	38.82%
UOPSX	ProFunds UltraNASDAQ-100 Fund	+0.51	+1.42%	35.86	33.27	33.79	36.22%	38.45%
RYVLX	Rydex Dynamic Fds, Nasdaq - 100 2x Strategy Fd Cl A	+3.66	+1.41%	259.08	240.17	231.65	42.08%	36.91%
RYVYX	Rydex Dynamic Fds, Nasdaq - 100 2x Strategy Fd Cl H	+3.65	+1.41%	259.00	240.09	231.56	36.57%	38.84%
RYCCX	Rydex NASDAQ-100 2x Strategy Fund Class C	+2.65	+1.41%	188.55	174.91	169.09	41.82%	36.64%
FGHMX	Fidelity Advisor Communication Services Class C	+0.81	+1.25%	64.92	62.74	59.66	15.60%	21.65%
FGJMX	Fidelity Select Communication Services Portfolio	+0.84	+1.24%	67.47	65.14	61.76	15.88%	21.98%
FGDMX	Fidelity Select Communication Services Portfolio	+0.83	+1.24%	66.76	64.47	61.18	15.80%	21.87%
FGKMX	Fidelity Advisor Communication Services Fund Class Z	+0.84	+1.24%	67.80	65.45	62.02	15.93%	22.03%
FGEMX	Fidelity Advisor Communication Services Class M	+0.82	+1.24%	66.22	63.96	60.74	15.73%	21.80%
FBMPX	Fidelity Select Communication Services Portfolio	+0.83	+1.23%	67.49	65.15	61.78	15.88%	21.96%
MISMX	Matthews Emerging Markets Small Companies Fund	+0.27	+1.11%	24.28	24.34	24.27	3.41%	6.55%
MSMLX	Matthews Emerging Markets Small Companies Fund	+0.27	+1.11%	24.31	24.38	24.28	3.41%	6.50%
LMIYX	Lord Abbett Micro Cap Growth Fund	+0.17	+1.04%	16.30	17.13	16.51	2.23%	2.11%
LFMGX	Lord Abbett Micro Cap Growth Fund	+0.17	+1.04%	16.30	17.13	16.51	3.16%	1.05%
