symbol,name,market
QQQ,Invesco QQQ Trust,ETF
VTIP,Vanguard Short-Term Inflation-Protected Securities Index Fund,ETF
VCSH,Vanguard Short-Term Corporate Bond Index Fund,ETF
VCIT,Vanguard Intermediate-Term Corporate Bond Index Fund,ETF
IEF,iShares 7-10 Year Treasury Bond ETF,ETF
MBB,iShares MBS ETF,ETF
VGSH,Vanguard Short-Term Treasury Index Fund,ETF
IGSB,iShares 1-5 Year Investment Grade Corporate Bond ETF,ETF
DVY,iShares Select Dividend ETF,ETF
VGIT,Vanguard Intermediate-Term Treasury Index Fund,ETF
VMBS,Vanguard Mortgage-Backed Securities Index Fund,ETF
ESGU,iShares ESG Aware MSCI USA ETF,ETF
VONG,Vanguard Russell 1000 Growth Index Fund,ETF
IUSV,iShares Core S&P U.S. Value ETF,ETF
IUSG,iShares Core S&P U.S. Growth ETF,ETF
IEI,iShares 3-7 Year Treasury Bond ETF,ETF
FTCS,First Trust Capital Strength ETF,ETF
DGRW,WisdomTree U.S. Quality Dividend Growth Fund,ETF
SMH,VanEck Semiconductor ETF,ETF
RDVY,First Trust Rising Dividend Achievers ETF,ETF
SOXX,iShares Semiconductor ETF,ETF
ESGD,iShares ESG Aware MSCI EAFE ETF,ETF
VYMI,Vanguard International High Dividend Yield Fund,ETF
PDBC,Invesco Optimum Yield Diversified Commodity Strategy No K-1 ETF,ETF
VONE,Vanguard Russell 1000 Index Fund,ETF
CIBR,First Trust NASDAQ Cybersecurity ETF,ETF
LMBS,First Trust Low Duration Opportunities ETF,ETF
ONEQ,Fidelity Nasdaq Composite Index ETF,ETF
EMXC,iShares MSCI Emerging Markets ex China ETF,ETF
FV,First Trust Dorsey Wright Focus 5 ETF,ETF
SLQD,iShares 0-5 Year Investment Grade Corporate Bond ETF,ETF
ANGL,VanEck Fallen Angel High Yield Bond ETF,ETF
FTSL,First Trust Senior Loan Fund,ETF
PRFZ,Invesco FTSE RAFI US 1500 Small-Mid ETF,ETF
CDC,VictoryShares US EQ Income Enhanced Volatility Wtd ETF,ETF
PHO,Invesco Water Resources ETF,ETF
FALN,iShares Fallen Angels USD Bond ETF,ETF
PEY,Invesco High Yield Equity Dividend Achievers ETF,ETF
QQEW,First Trust NASDAQ-100 Equal Weighted Index Fund,ETF
UITB,VictoryShares USAA Core Intermediate-Term Bond ETF,ETF
SDVY,First Trust SMID Cap Rising Dividend Achievers ETF,ETF
PID,Invesco International Dividend Achievers ETF,ETF
PKW,Invesco BuyBack Achievers ETF,ETF
FTXL,First Trust Nasdaq Semiconductor ETF,ETF
FNX,First Trust Mid Cap Core AlphaDEX Fund,ETF
SUSB,iShares ESG 1-5 Year USD Corporate Bond ETF,ETF
FYX,First Trust Small Cap Core AlphaDEX Fund,ETF
PTNQ,Pacer Trendpilot 100 ETF,ETF
PLW,Invesco 1-30 Laddered Treasury ETF,ETF
QQQE,Direxion NASDAQ-100 Equal Weighted Index Shares,ETF
DWAS,Invesco DWA SmallCap Momentum ETF,ETF
VRIG,Invesco Variable Rate Investment Grade ETF,ETF
IMCV,iShares Morningstar Mid-Cap Value ETF,ETF
USTB,VictoryShares USAA Core Short-Term Bond ETF,ETF
BSJP,Invesco BulletShares 2025 High Yield Corporate Bond ETF,ETF
SDG,iShares MSCI Global Impact ETF,ETF
CSB,VictoryShares US Small Cap High Div Volatility Wtd ETF,ETF
CDL,VictoryShares US Large Cap High Div Volatility Wtd ETF,ETF
KBWP,Invesco KBW Property & Casualty Insurance ETF,ETF
AIRR,First Trust RBA American Industrial RenaissanceTM ETF,ETF
