symbol,name,market
XOM,Exxon Mobil Corporation,Stock
TSM,Taiwan Semiconductor Manufacturing Company Limited,Stock
JPM,JPMorgan Chase & Co.,Stock
CVX,Chevron Corporation,Stock
PFE,Pfizer Inc.,Stock
BHP,BHP Group Limited,Stock
TM,Toyota Motor Corporation,Stock
TTE,TotalEnergies SE,Stock
HSBC,HSBC Holdings plc,Stock
SNY,Sanofi,Stock
INTC,Intel Corporation,Stock
QCOM,QUALCOMM Incorporated,Stock
UL,Unilever PLC,Stock
COP,ConocoPhillips,Stock
DE,Deere & Company,Stock
C,Citigroup Inc.,Stock
RIO,Rio Tinto Group,Stock
SCHW,The Charles Schwab Corporation,Stock
EQNR,Equinor ASA,Stock
CB,Chubb Limited,Stock
BTI,British American Tobacco p.l.c.,Stock
CI,The Cigna Group,Stock
IBN,ICICI Bank Limited,Stock
VALE,Vale S.A.,Stock
EOG,"EOG Resources, Inc.",Stock
PBR,Petróleo Brasileiro S.A. - Petrobras,Stock
PBR-A,Petróleo Brasileiro S.A. - Petrobras,Stock
SAN,"Banco Santander, S.A.",Stock
FCX,Freeport-McMoRan Inc.,Stock
OXY,Occidental Petroleum Corporation,Stock
MPC,Marathon Petroleum Corporation,Stock
STLA,Stellantis N.V.,Stock
CHTR,"Charter Communications, Inc.",Stock
NGG,National Grid plc,Stock
E,Eni S.p.A.,Stock
PNC,"The PNC Financial Services Group, Inc.",Stock
GM,General Motors Company,Stock
PXD,Pioneer Natural Resources Company,Stock
VLO,Valero Energy Corporation,Stock
PSX,Phillips 66,Stock
ITUB,Itaú Unibanco Holding S.A.,Stock
ING,ING Groep N.V.,Stock
HMC,"Honda Motor Co., Ltd.",Stock
TFC,Truist Financial Corporation,Stock
HES,Hess Corporation,Stock
LYG,Lloyds Banking Group plc,Stock
ADM,Archer-Daniels-Midland Company,Stock
BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",Stock
KMI,"Kinder Morgan, Inc.",Stock
ET,Energy Transfer LP,Stock
DOW,Dow Inc.,Stock
AIG,"American International Group, Inc.",Stock
MFG,"Mizuho Financial Group, Inc.",Stock
NUE,Nucor Corporation,Stock
COF,Capital One Financial Corporation,Stock
CRH,CRH plc,Stock
NTR,Nutrien Ltd.,Stock
DVN,Devon Energy Corporation,Stock
CVE,Cenovus Energy Inc.,Stock
ON,ON Semiconductor Corporation,Stock
ORAN,Orange S.A.,Stock
DHI,"D.R. Horton, Inc.",Stock
NWG,NatWest Group plc,Stock
AMP,"Ameriprise Financial, Inc.",Stock
BNTX,BioNTech SE,Stock
VOD,Vodafone Group Public Limited Company,Stock
HAL,Halliburton Company,Stock
BCS,Barclays PLC,Stock
OKE,"ONEOK, Inc.",Stock
HPQ,HP Inc.,Stock
LEN-B,Lennar Corporation,Stock
LEN,Lennar Corporation,Stock
TLK,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,Stock
FERG,Ferguson plc,Stock
FANG,"Diamondback Energy, Inc.",Stock
ACGL,Arch Capital Group Ltd.,Stock
TEF,"Telefónica, S.A.",Stock
DFS,Discover Financial Services,Stock
URI,"United Rentals, Inc.",Stock
TROW,"T. Rowe Price Group, Inc.",Stock
ALB,Albemarle Corporation,Stock
MT,ArcelorMittal S.A.,Stock
EC,Ecopetrol S.A.,Stock
UMC,United Microelectronics Corporation,Stock
HIG,"The Hartford Financial Services Group, Inc.",Stock
DAL,"Delta Air Lines, Inc.",Stock
RYAAY,Ryanair Holdings plc,Stock
SQM,Sociedad Química y Minera de Chile S.A.,Stock
PKX,POSCO Holdings Inc.,Stock
LH,Laboratory Corporation of America Holdings,Stock
CNHI,CNH Industrial N.V.,Stock
MTB,M&T Bank Corporation,Stock
ERIC,Telefonaktiebolaget LM Ericsson (publ),Stock
RJF,"Raymond James Financial, Inc.",Stock
CNP,"CenterPoint Energy, Inc.",Stock
IX,ORIX Corporation,Stock
CTRA,Coterra Energy Inc.,Stock
ELP,Companhia Paranaense de Energia - COPEL,Stock
SWKS,"Skyworks Solutions, Inc.",Stock
STLD,"Steel Dynamics, Inc.",Stock
