Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,42.5,42.5,42.5,42.5,42.432064056396484,0
2010-01-04,42.25,43.5,42.25,43.25,43.18086624145508,9294
2010-01-05,43.0,47.5,43.0,46.5,46.4256706237793,27558
2010-01-06,47.0,49.5,47.0,48.0,47.92327117919922,59928
2010-01-07,48.0,48.5,45.75,46.25,46.17607116699219,31567
2010-01-08,47.0,47.25,44.5,44.75,44.678466796875,34372
2010-01-11,45.0,45.25,44.75,45.0,44.928070068359375,4211
2010-01-12,45.25,45.75,45.0,45.0,44.928070068359375,6930
2010-01-13,45.0,45.0,44.5,45.0,44.928070068359375,3077
2010-01-14,45.0,46.25,44.75,44.75,44.678466796875,21471
2010-01-15,45.0,45.25,44.5,44.5,44.42886734008789,3716
2010-01-18,44.75,45.25,44.75,45.0,44.928070068359375,4356
2010-01-19,45.75,53.5,45.5,52.75,52.665679931640625,183357
2010-01-20,55.5,63.0,55.0,61.0,60.90249252319336,103051
2010-01-21,56.5,59.5,51.0,56.0,55.910484313964844,162766
2010-01-22,54.0,54.0,50.0,51.0,50.91847610473633,38382
2010-01-25,51.0,53.0,49.5,51.0,50.91847610473633,18861
2010-01-26,50.0,57.5,50.0,53.5,53.41448211669922,75577
2010-01-27,55.0,59.5,55.0,56.0,55.910484313964844,37514
2010-01-28,56.5,59.0,56.0,56.5,56.40968704223633,25831
2010-01-29,56.5,56.5,55.0,55.0,54.91208267211914,8346
2010-02-01,58.5,58.5,55.5,56.5,56.40968704223633,24868
2010-02-02,57.5,59.0,56.5,57.0,56.90888595581055,18784
2010-02-03,58.0,59.5,56.5,57.0,56.90888595581055,35075
2010-02-04,57.5,57.5,56.5,56.5,56.40968704223633,7082
2010-02-05,55.5,56.0,48.0,51.0,50.91847610473633,16632
2010-02-08,51.0,53.25,49.5,50.0,49.920074462890625,24283
2010-02-09,50.0,51.0,49.5,50.5,50.41927719116211,14177
2010-02-10,51.0,54.0,51.0,51.0,50.91847610473633,13156
2010-02-11,52.0,53.0,51.0,51.0,50.91847610473633,10251
2010-02-12,52.5,52.5,49.5,50.5,50.41927719116211,12643
2010-02-15,50.5,51.25,50.0,50.5,50.41927719116211,8934
2010-02-16,51.0,52.0,50.5,51.0,50.91847610473633,12624
2010-02-17,52.0,57.5,51.5,57.5,57.40808868408203,75648
2010-02-18,60.0,67.5,59.5,67.5,67.39210510253906,84349
2010-02-19,73.0,80.5,72.5,80.5,80.37132263183594,87329
2010-02-22,95.5,95.5,84.5,95.5,95.34734344482422,12031
2010-02-23,116.0,116.0,104.5,116.0,115.8145751953125,4094
2010-02-24,141.0,141.0,115.0,141.0,140.7746124267578,81466
2010-02-25,131.0,160.0,131.0,131.0,130.7906036376953,69794
2010-02-26,117.0,137.0,117.0,117.0,116.81298065185547,91784
2010-03-01,106.0,122.0,99.0,106.0,105.83055877685547,262173
2010-03-02,107.0,116.0,106.0,107.0,106.82896423339844,194279
2010-03-03,101.0,109.0,100.0,101.0,100.83855438232422,48200
2010-03-04,102.0,103.0,96.0,99.5,99.34095001220703,161183
2010-03-05,104.0,109.0,102.0,104.0,103.83375549316406,88498
2010-03-08,115.0,115.0,102.0,115.0,114.81617736816406,139511
2010-03-09,117.0,127.0,116.0,117.0,116.81298065185547,204983
2010-03-10,114.0,124.0,110.0,114.0,113.8177719116211,161061
2010-03-11,113.0,121.0,112.0,113.0,112.81937408447266,41412
2010-03-12,115.0,121.0,113.0,115.0,114.81617736816406,74366
2010-03-15,112.0,117.0,111.0,112.0,111.82096862792969,35975
2010-03-16,111.0,115.0,110.0,111.0,110.82257080078125,31261
2010-03-17,112.0,116.0,110.0,112.0,111.82096862792969,35508
2010-03-18,107.0,113.0,106.0,107.0,106.82896423339844,21587
2010-03-19,107.0,112.0,106.0,107.0,106.82896423339844,48214
2010-03-22,106.0,109.0,105.0,106.0,105.83055877685547,15982
2010-03-23,107.0,112.0,107.0,107.0,106.82896423339844,32716
2010-03-24,106.0,109.0,105.0,106.0,105.83055877685547,15361
2010-03-25,110.0,113.0,105.0,110.0,109.82416534423828,51718
2010-03-26,109.0,117.0,108.0,109.0,108.82576751708984,88013
2010-03-29,108.0,113.0,107.0,108.0,107.82736206054688,34638
2010-03-30,106.0,110.0,106.0,106.0,105.83055877685547,23263
2010-03-31,105.0,109.0,104.0,105.0,104.83216094970703,20157
2010-04-01,106.0,109.0,104.0,106.0,105.83055877685547,33787
2010-04-02,106.0,107.0,104.0,106.0,105.83055877685547,17772
2010-04-05,105.0,107.0,105.0,105.0,104.83216094970703,18105
2010-04-06,112.0,121.0,105.0,112.0,111.82096862792969,145412
